"Name","Class","URL"
"Namespaces","org.springframework.ws.server.endpoint.annotation.Namespaces","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/Namespaces.html"
"PayloadRoot","org.springframework.ws.server.endpoint.annotation.PayloadRoot","http://www.docjar.com/docs/api/org/springframework/ws/server/endpoint/annotation/PayloadRoot.html"
"PayloadRoot","org.springframework.ws.server.endpoint.annotation.PayloadRoot","http://docs.spring.io/spring-ws/site/reference/html/server.html"
"PayloadRoots","org.springframework.ws.server.endpoint.annotation.PayloadRoots","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/Endpoint.html"
"PayloadRoots","org.springframework.ws.server.endpoint.annotation.PayloadRoots","http://www.docjar.com/docs/api/org/springframework/ws/server/endpoint/annotation/PayloadRoot.html"
"RequestPayload","org.springframework.ws.server.endpoint.annotation.RequestPayload","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/RequestPayload.html"
"RequestPayload","org.springframework.ws.server.endpoint.annotation.RequestPayload","http://www.java2s.com/Code/Jar/s/Downloadspringwscore202RELEASEjar.htm"
"ResponsePayload","org.springframework.ws.server.endpoint.annotation.ResponsePayload","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/package-tree.html"
"ResponsePayload","org.springframework.ws.server.endpoint.annotation.ResponsePayload","http://grepcode.com/file/repo1.maven.org/maven2/org.springframework.ws/spring-ws-core/2.0.1.RELEASE/org/springframework/ws/server/endpoint/annotation/ResponsePayload.java"
"XPathParam","org.springframework.ws.server.endpoint.annotation.XPathParam","http://docs.spring.io/spring-ws/sites/1.5/apidocs/org/springframework/ws/server/endpoint/annotation/XPathParam.html"
"XPathParam","org.springframework.ws.server.endpoint.annotation.XPathParam","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/XPathParam.html"
